Date,Year,Month,Day,Weekday,Week_Number,Year_Week,Open,High,Low,Close,Volume,Return,Short_MA,Long_MA
,,,,,,,SBUX,SBUX,SBUX,SBUX,SBUX,,,
2021-01-04,2021,1,4,Monday,01,2021-01,95.02,95.1,90.15,91.0,8041500,0.0,91.0,91.0
2021-01-05,2021,1,5,Tuesday,01,2021-01,90.84,92.02,90.73,91.3,5721900,0.0032978471431834855,91.15,91.15
2021-01-06,2021,1,6,Wednesday,01,2021-01,90.9,92.86,90.83,91.96,5017200,0.0072506526339468635,91.42,91.42
2021-01-07,2021,1,7,Thursday,01,2021-01,92.22,92.36,90.86,91.22,5057000,-0.008062207828346102,91.37,91.37
2021-01-08,2021,1,8,Friday,01,2021-01,91.67,93.34,91.28,93.27,5869700,0.022447708274053957,91.75,91.75
2021-01-11,2021,1,11,Monday,02,2021-02,92.76,93.24,92.03,92.32,4257400,-0.010125579932406148,91.84499999999998,91.84499999999998
2021-01-12,2021,1,12,Tuesday,02,2021-02,91.8,92.07,90.3,90.75,4332600,-0.01701727296054234,91.68857142857142,91.68857142857142
2021-01-13,2021,1,13,Wednesday,02,2021-02,90.31,91.24,89.58,90.81,4804500,0.00068080261062331,91.57875,91.57875
2021-01-14,2021,1,14,Thursday,02,2021-02,91.61,91.96,89.77,89.87,4528300,-0.010399498205560631,91.38888888888889,91.38888888888889
2021-01-15,2021,1,15,Friday,02,2021-02,89.48,90.64,89.33,90.32,5522900,0.005008872496009564,91.282,91.282
2021-01-19,2021,1,19,Tuesday,03,2021-03,90.73,91.44,89.44,90.5,6519600,0.002052018829376223,91.21090909090908,91.21090909090908
2021-01-20,2021,1,20,Wednesday,03,2021-03,90.39,93.42,90.2,93.08,5844300,0.02847689209341464,91.36666666666667,91.36666666666667
2021-01-21,2021,1,21,Thursday,03,2021-03,93.08,93.11,92.19,92.3,5731500,-0.008344457473381195,91.43846153846154,91.43846153846154
2021-01-22,2021,1,22,Friday,03,2021-03,91.93,92.21,90.96,91.71,5231600,-0.006406389610518426,91.45785714285714,91.45785714285714
2021-01-25,2021,1,25,Monday,04,2021-04,91.57,91.75,90.18,91.31,5009000,-0.004427129022052667,91.48,91.44800000000001
2021-01-26,2021,1,26,Tuesday,04,2021-04,91.26,92.86,91.12,92.4,7195300,0.011986465196009322,91.55857142857143,91.5075
2021-01-27,2021,1,27,Wednesday,04,2021-04,89.57,89.83,85.37,86.38,18139500,-0.06514470385261806,91.16,91.20588235294117
2021-01-28,2021,1,28,Thursday,04,2021-04,87.33,88.73,86.58,86.63,8868200,0.002860943249244352,90.83214285714284,90.95166666666665
2021-01-29,2021,1,29,Friday,04,2021-04,85.96,86.31,84.66,85.45,8203000,-0.013652346041210683,90.27357142857143,90.6621052631579
2021-02-01,2021,2,1,Monday,05,2021-05,85.6,87.93,85.54,87.01,7206300,0.01828293294103056,89.89428571428572,90.4795
2021-02-02,2021,2,2,Tuesday,05,2021-05,87.42,90.45,87.18,89.72,6917700,0.031142266286785736,89.82071428571429,90.44333333333333
2021-02-03,2021,2,3,Wednesday,05,2021-05,89.36,90.6,88.98,89.16,3934800,-0.006197663815536658,89.70285714285716,90.385
2021-02-04,2021,2,4,Thursday,05,2021-05,89.46,92.0,89.24,91.47,6926800,0.02593537014773384,89.81714285714285,90.43217391304348
2021-02-05,2021,2,5,Friday,05,2021-05,92.75,94.92,92.48,93.98,8072100,0.027402395984201355,90.07857142857144,90.58
2021-02-08,2021,2,8,Monday,06,2021-06,93.93,94.02,92.97,93.79,4836600,-0.002066131468990151,90.31357142857144,90.7084
2021-02-09,2021,2,9,Tuesday,06,2021-06,93.56,94.29,92.87,93.75,4095200,-0.00037640106082137414,90.36142857142856,90.82538461538462
2021-02-10,2021,2,10,Wednesday,06,2021-06,94.25,94.35,92.61,93.44,4293200,-0.0032947290845005694,90.44285714285714,90.92222222222223
2021-02-11,2021,2,11,Thursday,06,2021-06,93.66,93.76,92.7,93.43,2976000,-9.454893544269538e-05,90.56571428571428,91.01178571428571
2021-02-12,2021,2,12,Friday,06,2021-06,93.33,93.5,92.43,92.94,3169800,-0.00528985173521046,90.68214285714285,91.07827586206896
2021-02-16,2021,2,16,Tuesday,07,2021-07,92.57,94.08,92.41,93.69,4928100,0.008071871167915523,90.77428571428572,91.16533333333334
2021-02-17,2021,2,17,Wednesday,07,2021-07,93.17,93.48,92.32,92.57,5733800,-0.01192050661175903,91.21642857142857,91.21064516129032
2021-02-18,2021,2,18,Thursday,07,2021-07,91.99,93.37,91.66,93.04,4098700,0.0050747381389790736,91.67428571428572,91.2678125
2021-02-19,2021,2,19,Friday,07,2021-07,92.85,93.32,91.49,91.62,4128900,-0.015242382949496758,92.11500000000001,91.27848484848485
2021-02-22,2021,2,22,Monday,08,2021-08,91.29,91.29,90.19,90.24,5211800,-0.01509144313059474,92.3457142857143,91.24794117647059
2021-02-23,2021,2,23,Tuesday,08,2021-08,91.6,91.6,88.57,89.85,8740300,-0.004321917226830618,92.355,91.208
2021-02-24,2021,2,24,Wednesday,08,2021-08,89.66,92.63,89.17,92.52,7542700,0.02969339126790227,92.595,91.24444444444445
2021-02-25,2021,2,25,Thursday,08,2021-08,92.18,93.75,91.39,91.71,7534000,-0.008718310116996753,92.61214285714286,91.25702702702702
2021-02-26,2021,2,26,Friday,08,2021-08,92.32,97.04,91.9,95.75,15122900,0.044070853705426405,92.73857142857142,91.37526315789474
2021-03-01,2021,3,1,Monday,09,2021-09,96.26,97.92,94.43,94.73,7930300,-0.010737877718640765,92.80571428571429,91.46128205128204
2021-03-02,2021,3,2,Tuesday,09,2021-09,95.12,95.95,93.8,95.02,5016800,0.003088126290528237,92.89642857142857,91.55024999999999
2021-03-03,2021,3,3,Wednesday,09,2021-09,94.79,95.69,94.06,94.15,5313400,-0.009142154688125403,92.94714285714288,91.61365853658536
2021-03-04,2021,3,4,Thursday,09,2021-09,94.19,94.99,92.05,92.97,7211800,-0.012520961594032487,92.91428571428571,91.64595238095238
2021-03-05,2021,3,5,Friday,09,2021-09,94.01,94.01,91.07,93.25,5559900,0.002955379950224435,92.93642857142856,91.6832558139535
2021-03-08,2021,3,8,Monday,10,2021-10,92.89,94.74,92.39,93.1,5119500,-0.0016154573346295331,92.89428571428572,91.71545454545455
2021-03-09,2021,3,9,Tuesday,10,2021-10,94.2,95.7,93.8,94.44,5510900,0.014471674000600787,93.02785714285713,91.776
2021-03-10,2021,3,10,Wednesday,10,2021-10,95.04,96.68,94.81,95.53,6077000,0.011543798219661339,93.2057142857143,91.85760869565217
2021-03-11,2021,3,11,Thursday,10,2021-10,96.09,96.23,95.07,95.13,4670700,-0.004267722841353572,93.45642857142856,91.9272340425532
2021-03-12,2021,3,12,Friday,10,2021-10,95.21,95.72,94.47,95.56,3356000,0.004565605037508469,93.83642857142856,92.00291666666668
